985,VLAN-985,10.3.235.0,255.255.255.0,10.3.235.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,15 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,16,6.3
986,VLAN-986,10.2.236.0,255.255.255.0,10.2.236.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,11 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,19,7.5
987,VLAN-987,10.1.237.0,255.255.255.0,10.1.237.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ,14 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,14,5.5
988,VLAN-988,10.2.238.0,255.255.255.0,10.2.238.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,9 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,1,0.4
989,VLAN-989,10.1.239.0,255.255.255.0,10.1.239.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database,4 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,2,0.8
990,VLAN-990,10.1.240.0,255.255.255.0,10.1.240.1,Internal-Production,DC-East Virginia,Infrastructure subnet for Internal-Production,12 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,11,4.3
991,VLAN-991,10.1.241.0,255.255.255.0,10.1.241.1,Internal-Production,DC-East Virginia,Infrastructure subnet for Internal-Production,5 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,19,7.5
992,VLAN-992,10.3.242.0,255.255.255.0,10.3.242.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,1 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,19,7.5
993,VLAN-993,10.1.243.0,255.255.255.0,10.1.243.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,9 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,18,7.1
994,VLAN-994,10.3.244.0,255.255.255.0,10.3.244.1,Backup,DC-Central Illinois,Infrastructure subnet for Backup,6 servers assigned,No,10.3.300.5,10.3.300.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,9,3.5
995,VLAN-995,10.1.245.0,255.255.255.0,10.1.245.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,2 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,6,2.4
996,VLAN-996,10.1.246.0,255.255.255.0,10.1.246.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,9 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,11,4.3
997,VLAN-997,10.2.247.0,255.255.255.0,10.2.247.1,Management,DC-West Oregon,Infrastructure subnet for Management,4 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,9,3.5
998,VLAN-998,10.2.248.0,255.255.255.0,10.2.248.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database,11 servers assigned,No,10.2.200.5,10.2.200.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,7,2.8
999,VLAN-999,10.3.249.0,255.255.255.0,10.3.249.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,12 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,4,1.6
1000,VLAN-1000,10.1.0.0,255.255.255.0,10.1.1.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging,7 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,4,1.6
1001,VLAN-1001,10.1.1.0,255.255.255.0,10.1.1.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,2 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,20,7.9
1002,VLAN-1002,10.3.2.0,255.255.255.0,10.3.2.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,13 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,20,7.9
1003,VLAN-1003,10.2.3.0,255.255.255.0,10.2.3.1,DMZ,DC-West Oregon,Infrastructure subnet for DMZ,6 servers assigned,No,10.2.200.5,10.2.200.6,FW-DMZ-STD,ACL-DMZ-TIER,254,16,6.3
1004,VLAN-1004,10.1.4.0,255.255.255.0,10.1.4.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,14 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,8,3.1
1005,VLAN-1005,10.2.5.0,255.255.255.0,10.2.5.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,3 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,17,6.7
1006,VLAN-1006,10.2.6.0,255.255.255.0,10.2.6.1,Management,DC-West Oregon,Infrastructure subnet for Management,4 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,10,3.9
1007,VLAN-1007,10.2.7.0,255.255.255.0,10.2.7.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging,8 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,17,6.7
1008,VLAN-1008,10.2.8.0,255.255.255.0,10.2.8.1,Management,DC-West Oregon,Infrastructure subnet for Management,11 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,1,0.4
1009,VLAN-1009,10.3.9.0,255.255.255.0,10.3.9.1,Management,DC-Central Illinois,Infrastructure subnet for Management,4 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,2,0.8
1010,VLAN-1010,10.3.10.0,255.255.255.0,10.3.10.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,2 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,16,6.3
1011,VLAN-1011,10.2.11.0,255.255.255.0,10.2.11.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,7 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,20,7.9
1012,VLAN-1012,10.1.12.0,255.255.255.0,10.1.12.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,7 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,18,7.1
1013,VLAN-1013,10.2.13.0,255.255.255.0,10.2.13.1,Management,DC-West Oregon,Infrastructure subnet for Management,6 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,3,1.2
1014,VLAN-1014,10.2.14.0,255.255.255.0,10.2.14.1,DMZ,DC-West Oregon,Infrastructure subnet for DMZ,14 servers assigned,No,10.2.200.5,10.2.200.6,FW-DMZ-STD,ACL-DMZ-TIER,254,11,4.3
1015,VLAN-1015,10.3.15.0,255.255.255.0,10.3.15.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,1 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,10,3.9
1016,VLAN-1016,10.2.16.0,255.255.255.0,10.2.16.1,Management,DC-West Oregon,Infrastructure subnet for Management,11 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,10,3.9
1017,VLAN-1017,10.1.17.0,255.255.255.0,10.1.17.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ,9 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,17,6.7
1018,VLAN-1018,10.1.18.0,255.255.255.0,10.1.18.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,8 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,12,4.7
1019,VLAN-1019,10.2.19.0,255.255.255.0,10.2.19.1,Management,DC-West Oregon,Infrastructure subnet for Management,1 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,8,3.1
1020,VLAN-1020,10.2.20.0,255.255.255.0,10.2.20.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database,3 servers assigned,No,10.2.200.5,10.2.200.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,5,2.0
1021,VLAN-1021,10.3.21.0,255.255.255.0,10.3.21.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging,4 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,15,5.9
1022,VLAN-1022,10.1.22.0,255.255.255.0,10.1.22.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging,4 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,3,1.2
1023,VLAN-1023,10.3.23.0,255.255.255.0,10.3.23.1,Internal-Production,DC-Central Illinois,Infrastructure subnet for Internal-Production,1 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,19,7.5
1024,VLAN-1024,10.1.24.0,255.255.255.0,10.1.24.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,3 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,4,1.6
1025,VLAN-1025,10.1.25.0,255.255.255.0,10.1.25.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging,11 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,20,7.9
1026,VLAN-1026,10.2.26.0,255.255.255.0,10.2.26.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database,2 servers assigned,No,10.2.200.5,10.2.200.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,14,5.5
1027,VLAN-1027,10.1.27.0,255.255.255.0,10.1.27.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database,14 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,14,5.5
1028,VLAN-1028,10.2.28.0,255.255.255.0,10.2.28.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging,8 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,6,2.4
1029,VLAN-1029,10.3.29.0,255.255.255.0,10.3.29.1,Backup,DC-Central Illinois,Infrastructure subnet for Backup,9 servers assigned,No,10.3.300.5,10.3.300.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,3,1.2
1030,VLAN-1030,10.3.30.0,255.255.255.0,10.3.30.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,12 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,13,5.1
1031,VLAN-1031,10.1.31.0,255.255.255.0,10.1.31.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,9 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,5,2.0
1032,VLAN-1032,10.1.32.0,255.255.255.0,10.1.32.1,Management,DC-East Virginia,Infrastructure subnet for Management,3 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,7,2.8
1033,VLAN-1033,10.1.33.0,255.255.255.0,10.1.33.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,7 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,15,5.9
1034,VLAN-1034,10.1.34.0,255.255.255.0,10.1.34.1,Internal-Production,DC-East Virginia,Infrastructure subnet for Internal-Production,2 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,11,4.3
1035,VLAN-1035,10.1.35.0,255.255.255.0,10.1.35.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ,2 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,20,7.9
1036,VLAN-1036,10.2.36.0,255.255.255.0,10.2.36.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,15 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,2,0.8
1037,VLAN-1037,10.2.37.0,255.255.255.0,10.2.37.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,2 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,5,2.0
1038,VLAN-1038,10.2.38.0,255.255.255.0,10.2.38.1,DMZ,DC-West Oregon,Infrastructure subnet for DMZ,7 servers assigned,No,10.2.200.5,10.2.200.6,FW-DMZ-STD,ACL-DMZ-TIER,254,18,7.1
1039,VLAN-1039,10.1.39.0,255.255.255.0,10.1.39.1,Management,DC-East Virginia,Infrastructure subnet for Management,2 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,10,3.9
1040,VLAN-1040,10.3.40.0,255.255.255.0,10.3.40.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ,10 servers assigned,No,10.3.300.5,10.3.300.6,FW-DMZ-STD,ACL-DMZ-TIER,254,4,1.6
1041,VLAN-1041,10.3.41.0,255.255.255.0,10.3.41.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ,10 servers assigned,No,10.3.300.5,10.3.300.6,FW-DMZ-STD,ACL-DMZ-TIER,254,18,7.1
1042,VLAN-1042,10.3.42.0,255.255.255.0,10.3.42.1,Internal-Production,DC-Central Illinois,Infrastructure subnet for Internal-Production,15 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,12,4.7
1043,VLAN-1043,10.2.43.0,255.255.255.0,10.2.43.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,13 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,7,2.8
1044,VLAN-1044,10.1.44.0,255.255.255.0,10.1.44.1,Internal-Production,DC-East Virginia,Infrastructure subnet for Internal-Production,5 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,10,3.9
1045,VLAN-1045,10.1.45.0,255.255.255.0,10.1.45.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,8 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,1,0.4
1046,VLAN-1046,10.1.46.0,255.255.255.0,10.1.46.1,Internal-Staging,DC-East Virginia,Infrastructure subnet for Internal-Staging,14 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,3,1.2
1047,VLAN-1047,10.2.47.0,255.255.255.0,10.2.47.1,Storage,DC-West Oregon,Infrastructure subnet for Storage,13 servers assigned,No,10.2.200.5,10.2.200.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,16,6.3
1048,VLAN-1048,10.1.48.0,255.255.255.0,10.1.48.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ,6 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,8,3.1
1049,VLAN-1049,10.3.49.0,255.255.255.0,10.3.49.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,8 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,5,2.0
1050,VLAN-1050,10.1.50.0,255.255.255.0,10.1.50.1,Management,DC-East Virginia,Infrastructure subnet for Management,12 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,6,2.4
1051,VLAN-1051,10.2.51.0,255.255.255.0,10.2.51.1,Storage,DC-West Oregon,Infrastructure subnet for Storage,7 servers assigned,No,10.2.200.5,10.2.200.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,7,2.8
1052,VLAN-1052,10.2.52.0,255.255.255.0,10.2.52.1,Management,DC-West Oregon,Infrastructure subnet for Management,7 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,13,5.1
1053,VLAN-1053,10.3.53.0,255.255.255.0,10.3.53.1,Management,DC-Central Illinois,Infrastructure subnet for Management,11 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,11,4.3
1054,VLAN-1054,10.3.54.0,255.255.255.0,10.3.54.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging,8 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,4,1.6
1055,VLAN-1055,10.1.55.0,255.255.255.0,10.1.55.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database,8 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,11,4.3
1056,VLAN-1056,10.1.56.0,255.255.255.0,10.1.56.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,2 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,5,2.0
1057,VLAN-1057,10.3.57.0,255.255.255.0,10.3.57.1,Backup,DC-Central Illinois,Infrastructure subnet for Backup,5 servers assigned,No,10.3.300.5,10.3.300.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,4,1.6
1058,VLAN-1058,10.3.58.0,255.255.255.0,10.3.58.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ,8 servers assigned,No,10.3.300.5,10.3.300.6,FW-DMZ-STD,ACL-DMZ-TIER,254,12,4.7
1059,VLAN-1059,10.3.59.0,255.255.255.0,10.3.59.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,4 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,17,6.7
1060,VLAN-1060,10.2.60.0,255.255.255.0,10.2.60.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,13 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,8,3.1
1061,VLAN-1061,10.1.61.0,255.255.255.0,10.1.61.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,7 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,11,4.3
1062,VLAN-1062,10.3.62.0,255.255.255.0,10.3.62.1,Management,DC-Central Illinois,Infrastructure subnet for Management,9 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,13,5.1
1063,VLAN-1063,10.2.63.0,255.255.255.0,10.2.63.1,Storage,DC-West Oregon,Infrastructure subnet for Storage,11 servers assigned,No,10.2.200.5,10.2.200.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,7,2.8
1064,VLAN-1064,10.2.64.0,255.255.255.0,10.2.64.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,15 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,17,6.7
1065,VLAN-1065,10.3.65.0,255.255.255.0,10.3.65.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,4 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,2,0.8
1066,VLAN-1066,10.2.66.0,255.255.255.0,10.2.66.1,Internal-Staging,DC-West Oregon,Infrastructure subnet for Internal-Staging,14 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,17,6.7
1067,VLAN-1067,10.3.67.0,255.255.255.0,10.3.67.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,1 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,18,7.1
1068,VLAN-1068,10.2.68.0,255.255.255.0,10.2.68.1,Management,DC-West Oregon,Infrastructure subnet for Management,10 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,6,2.4
1069,VLAN-1069,10.2.69.0,255.255.255.0,10.2.69.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,13 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,16,6.3
1070,VLAN-1070,10.3.70.0,255.255.255.0,10.3.70.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,5 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,12,4.7
1071,VLAN-1071,10.2.71.0,255.255.255.0,10.2.71.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,9 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,18,7.1
1072,VLAN-1072,10.3.72.0,255.255.255.0,10.3.72.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,3 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,9,3.5
1073,VLAN-1073,10.1.73.0,255.255.255.0,10.1.73.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database,11 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,17,6.7
1074,VLAN-1074,10.2.74.0,255.255.255.0,10.2.74.1,Internal-Development,DC-West Oregon,Infrastructure subnet for Internal-Development,7 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,8,3.1
1075,VLAN-1075,10.3.75.0,255.255.255.0,10.3.75.1,Storage,DC-Central Illinois,Infrastructure subnet for Storage,3 servers assigned,No,10.3.300.5,10.3.300.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,20,7.9
1076,VLAN-1076,10.3.76.0,255.255.255.0,10.3.76.1,Internal-Staging,DC-Central Illinois,Infrastructure subnet for Internal-Staging,9 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-STAGING-STD,ACL-INTERNAL-STAGING-TIER,254,18,7.1
1077,VLAN-1077,10.3.77.0,255.255.255.0,10.3.77.1,Management,DC-Central Illinois,Infrastructure subnet for Management,14 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,16,6.3
1078,VLAN-1078,10.2.78.0,255.255.255.0,10.2.78.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database,10 servers assigned,No,10.2.200.5,10.2.200.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,9,3.5
1079,VLAN-1079,10.2.79.0,255.255.255.0,10.2.79.1,Storage,DC-West Oregon,Infrastructure subnet for Storage,14 servers assigned,No,10.2.200.5,10.2.200.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,18,7.1
1080,VLAN-1080,10.2.80.0,255.255.255.0,10.2.80.1,Storage,DC-West Oregon,Infrastructure subnet for Storage,4 servers assigned,No,10.2.200.5,10.2.200.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,6,2.4
1081,VLAN-1081,10.1.81.0,255.255.255.0,10.1.81.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,2 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,15,5.9
1082,VLAN-1082,10.3.82.0,255.255.255.0,10.3.82.1,Internal-Production,DC-Central Illinois,Infrastructure subnet for Internal-Production,11 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,12,4.7
1083,VLAN-1083,10.3.83.0,255.255.255.0,10.3.83.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,15 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,13,5.1
1084,VLAN-1084,10.2.84.0,255.255.255.0,10.2.84.1,Internal-Database,DC-West Oregon,Infrastructure subnet for Internal-Database,15 servers assigned,No,10.2.200.5,10.2.200.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,10,3.9
1085,VLAN-1085,10.1.85.0,255.255.255.0,10.1.85.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,4 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,13,5.1
1086,VLAN-1086,10.1.86.0,255.255.255.0,10.1.86.1,Internal-Development,DC-East Virginia,Infrastructure subnet for Internal-Development,2 servers assigned,Yes,10.1.100.5,10.1.100.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,16,6.3
1087,VLAN-1087,10.3.87.0,255.255.255.0,10.3.87.1,Management,DC-Central Illinois,Infrastructure subnet for Management,10 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,5,2.0
