INC-2024-0849,2024-04-10 00:00:00,2024-04-10 00:00:00,P3,Network,SRV-C-030,Microservice-087,Software Bug,Replaced faulty fiber patch cable,0,Internal operations affected,Application Support,Yes,Yes,Level 1,CR-2024-0215,No
INC-2024-0850,2024-08-11 00:00:00,2024-08-11 00:00:00,P4,Application Software,SRV-W-006,Microservice-043,Capacity Saturation,Failover to database replication node,15,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0273,No
INC-2024-0851,2024-05-16 00:00:00,2024-05-16 00:00:00,P3,Application Software,SRV-W-110,Microservice-037,Software Bug,Updated IPS threat signatures and blocked attacking IP,0,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0223,No
INC-2024-0852,2024-09-27 00:00:00,2024-09-27 00:00:00,P4,Network,SRV-W-021,Microservice-051,Hardware Fault,Restarted JVM application server process,120,Internal operations affected,Security Ops,Yes,No,Level 0,CR-2024-0280,No
INC-2024-0853,2024-08-01 00:00:00,2024-08-01 00:00:00,P4,Security,SRV-E-091,DataWarehouse,Software Bug,Failover to database replication node,120,Internal operations affected,Network Ops,Yes,No,Level 0,CR-2024-0165,No
INC-2024-0854,2024-12-13 00:00:00,2024-12-13 00:00:00,P4,Security,SRV-W-017,Microservice-079,Human Error,Updated local SSL/TLS certificate chain,0,Internal operations affected,Network Ops,Yes,Yes,Level 0,CR-2024-0279,No
INC-2024-0855,2024-08-14 00:00:00,2024-08-14 00:00:00,P4,Storage,SRV-C-087,SalesForce-Integration,Software Bug,Failover to database replication node,30,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0115,No
INC-2024-0856,2024-06-16 00:00:00,2024-06-16 00:00:00,P3,Application Software,SRV-E-045,DataWarehouse,Hardware Fault,Cleared storage log partition to free up space,60,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0260,No
INC-2024-0857,2024-11-07 00:00:00,2024-11-07 00:00:00,P3,Database,SRV-E-096,Microservice-079,Third Party Outage,Updated IPS threat signatures and blocked attacking IP,60,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0267,No
INC-2024-0858,2024-01-28 00:00:00,2024-01-28 00:00:00,P3,Security,SRV-E-141,DevOps-Pipeline,Hardware Fault,Failover to database replication node,180,Internal operations affected,Application Support,Yes,No,Level 1,CR-2024-0252,No
INC-2024-0859,2024-08-27 00:00:00,2024-08-27 00:00:00,P2,Security,SRV-C-095,Microservice-088,Human Error,Reconfigured load balancer session persistence,0,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0128,No
INC-2024-0860,2024-01-09 00:00:00,2024-01-09 00:00:00,P2,Security,SRV-E-111,Microservice-047,Human Error,Updated IPS threat signatures and blocked attacking IP,0,Single service degradation,Database Admin,Yes,Yes,Level 2,CR-2024-0114,No
INC-2024-0861,2024-09-15 00:00:00,2024-09-15 00:00:00,P4,Database,SRV-W-100,FileServer-Central,Software Bug,Restarted Docker containers,15,Internal operations affected,Database Admin,Yes,Yes,Level 0,CR-2024-0189,No
INC-2024-0862,2024-07-16 00:00:00,2024-07-16 00:00:00,P4,Database,SRV-E-021,Microservice-085,Human Error,Failover to database replication node,45,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0266,No
INC-2024-0863,2024-03-17 00:00:00,2024-03-17 00:00:00,P3,Storage,SRV-C-001,Microservice-062,Hardware Fault,Rebooted host operating system,120,Internal operations affected,Cloud Ops,Yes,No,Level 1,CR-2024-0120,No
INC-2024-0864,2024-04-05 00:00:00,2024-04-05 00:00:00,P1,Compute,SRV-E-054,MonitoringDashboard,Hardware Fault,Replaced faulty fiber patch cable,120,Enterprise wide outage,Network Ops,Yes,No,Level 2,CR-2024-0254,Yes
INC-2024-0865,2024-01-12 00:00:00,2024-01-12 00:00:00,P3,Network,SRV-C-040,Microservice-072,Software Bug,Updated local SSL/TLS certificate chain,30,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0119,No
INC-2024-0866,2024-09-14 00:00:00,2024-09-14 00:00:00,P4,Network,SRV-E-148,Microservice-069,Capacity Saturation,Updated IPS threat signatures and blocked attacking IP,60,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0180,No
INC-2024-0867,2024-04-27 00:00:00,2024-04-27 00:00:00,P3,Database,SRV-E-146,Microservice-071,Human Error,Rebooted host operating system,15,Internal operations affected,Security Ops,Yes,Yes,Level 1,CR-2024-0160,No
INC-2024-0868,2024-02-02 00:00:00,2024-02-02 00:00:00,P2,Security,SRV-W-106,Microservice-099,Hardware Fault,Cleared storage log partition to free up space,15,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0200,No
INC-2024-0869,2024-03-05 00:00:00,2024-03-05 00:00:00,P4,Storage,SRV-E-095,Microservice-080,Hardware Fault,Rebooted host operating system,15,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0265,No
INC-2024-0870,2024-06-25 00:00:00,2024-06-25 00:00:00,P3,Storage,SRV-C-034,MobileApp-Backend,Capacity Saturation,Rebooted host operating system,180,Internal operations affected,Cloud Ops,Yes,No,Level 1,CR-2024-0167,No
INC-2024-0871,2024-01-26 00:00:00,2024-01-26 00:00:00,P1,Application Software,SRV-W-022,Microservice-073,Human Error,Replaced faulty fiber patch cable,120,Enterprise wide outage,Cloud Ops,Yes,No,Level 2,CR-2024-0165,Yes
INC-2024-0872,2024-12-13 00:00:00,2024-12-13 00:00:00,P4,Storage,SRV-C-009,ComplianceTracker,Hardware Fault,Restarted JVM application server process,0,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0154,No
INC-2024-0873,2024-12-13 00:00:00,2024-12-13 00:00:00,P4,Compute,SRV-E-033,DataWarehouse,Human Error,Restarted JVM application server process,0,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0154,No
INC-2024-0874,2024-07-15 00:00:00,2024-07-15 00:00:00,P4,Database,SRV-W-096,LDAP-Directory,Capacity Saturation,Restored data from local backup volume,30,Internal operations affected,Network Ops,Yes,Yes,Level 0,CR-2024-0286,No
INC-2024-0875,2024-05-11 00:00:00,2024-05-11 00:00:00,P2,Storage,SRV-E-082,LogAggregator,Capacity Saturation,Failover to database replication node,0,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0115,No
INC-2024-0876,2024-05-15 00:00:00,2024-05-15 00:00:00,P4,Storage,SRV-C-054,Microservice-081,Human Error,Updated local SSL/TLS certificate chain,0,Internal operations affected,Network Ops,Yes,Yes,Level 0,CR-2024-0193,No
INC-2024-0877,2024-11-24 00:00:00,2024-11-24 00:00:00,P3,Application Software,SRV-W-059,Microservice-083,Software Bug,Replaced faulty fiber patch cable,0,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0180,No
INC-2024-0878,2024-04-20 00:00:00,2024-04-20 00:00:00,P4,Network,SRV-E-012,Microservice-092,Capacity Saturation,Failover to database replication node,0,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0173,No
INC-2024-0879,2024-10-03 00:00:00,2024-10-03 00:00:00,P4,Compute,SRV-W-017,CustomerPortal,Third Party Outage,Cleared storage log partition to free up space,15,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0189,No
INC-2024-0880,2024-09-25 00:00:00,2024-09-25 00:00:00,P4,Storage,SRV-E-020,Microservice-075,Human Error,Reconfigured load balancer session persistence,180,Internal operations affected,Database Admin,Yes,No,Level 0,CR-2024-0163,No
INC-2024-0881,2024-06-27 00:00:00,2024-06-27 00:00:00,P3,Database,SRV-E-150,BackupManager,Hardware Fault,Restarted JVM application server process,30,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0171,No
INC-2024-0882,2024-07-14 00:00:00,2024-07-14 00:00:00,P4,Database,SRV-W-064,VideoConference,Human Error,Updated local SSL/TLS certificate chain,45,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0196,No
INC-2024-0883,2024-10-28 00:00:00,2024-10-28 00:00:00,P4,Storage,SRV-E-142,SupplyChainPro,Hardware Fault,Updated IPS threat signatures and blocked attacking IP,120,Internal operations affected,Cloud Ops,Yes,No,Level 0,CR-2024-0299,No
INC-2024-0884,2024-11-26 00:00:00,2024-11-26 00:00:00,P2,Database,SRV-E-090,Microservice-041,Human Error,Rebooted host operating system,15,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0173,No
INC-2024-0885,2024-10-25 00:00:00,2024-10-25 00:00:00,P4,Security,SRV-E-146,Microservice-051,Hardware Fault,Rebooted host operating system,30,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0109,No
INC-2024-0886,2024-08-07 00:00:00,2024-08-07 00:00:00,P3,Storage,SRV-E-063,Microservice-089,Hardware Fault,Rebooted host operating system,120,Internal operations affected,Application Support,Yes,No,Level 1,CR-2024-0268,No
INC-2024-0887,2024-05-25 00:00:00,2024-05-25 00:00:00,P4,Application Software,SRV-W-103,Microservice-038,Human Error,Cleared storage log partition to free up space,15,Internal operations affected,Network Ops,Yes,Yes,Level 0,CR-2024-0266,No
INC-2024-0888,2024-09-12 00:00:00,2024-09-12 00:00:00,P3,Security,SRV-E-006,LogAggregator,Hardware Fault,Replaced faulty fiber patch cable,0,Internal operations affected,Application Support,Yes,Yes,Level 1,CR-2024-0133,No
INC-2024-0889,2024-01-30 00:00:00,2024-01-30 00:00:00,P3,Network,SRV-C-086,Microservice-060,Software Bug,Failover to database replication node,120,Internal operations affected,Infrastructure Ops,Yes,No,Level 1,CR-2024-0149,No
INC-2024-0890,2024-11-17 00:00:00,2024-11-17 00:00:00,P3,Application Software,SRV-E-143,Microservice-072,Human Error,Updated local SSL/TLS certificate chain,60,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0187,No
INC-2024-0891,2024-06-21 00:00:00,2024-06-21 00:00:00,P2,Storage,SRV-C-080,Microservice-057,Hardware Fault,Restarted Docker containers,180,Single service degradation,Cloud Ops,Yes,No,Level 2,CR-2024-0108,No
INC-2024-0892,2024-10-16 00:00:00,2024-10-16 00:00:00,P4,Security,SRV-W-056,Microservice-053,Capacity Saturation,Cleared storage log partition to free up space,30,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0218,No
INC-2024-0893,2024-10-09 00:00:00,2024-10-09 00:00:00,P3,Compute,SRV-C-059,Microservice-038,Third Party Outage,Updated local SSL/TLS certificate chain,15,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 1,CR-2024-0295,No
INC-2024-0894,2024-03-17 00:00:00,2024-03-17 00:00:00,P3,Storage,SRV-W-031,BackupManager,Capacity Saturation,Failover to database replication node,180,Internal operations affected,Application Support,Yes,No,Level 1,CR-2024-0272,No
INC-2024-0895,2024-12-01 00:00:00,2024-12-01 00:00:00,P2,Compute,SRV-E-091,MonitoringDashboard,Software Bug,Updated local SSL/TLS certificate chain,15,Single service degradation,Database Admin,Yes,Yes,Level 2,CR-2024-0175,No
INC-2024-0896,2024-01-07 00:00:00,2024-01-07 00:00:00,P3,Compute,SRV-E-061,E-Commerce-Platform,Human Error,Restarted Docker containers,15,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0223,No
INC-2024-0897,2024-05-08 00:00:00,2024-05-08 00:00:00,P4,Storage,SRV-C-067,Microservice-066,Human Error,Restored data from local backup volume,120,Internal operations affected,Application Support,Yes,No,Level 0,CR-2024-0255,No
INC-2024-0898,2024-04-24 00:00:00,2024-04-24 00:00:00,P4,Database,SRV-W-118,DataWarehouse,Third Party Outage,Replaced faulty fiber patch cable,180,Internal operations affected,Database Admin,Yes,No,Level 0,CR-2024-0279,No
INC-2024-0899,2024-10-07 00:00:00,2024-10-07 00:00:00,P3,Database,SRV-W-075,Microservice-044,Third Party Outage,Restored data from local backup volume,0,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0165,No
INC-2024-0900,2024-10-28 00:00:00,2024-10-28 00:00:00,P1,Storage,SRV-C-065,LogAggregator,Capacity Saturation,Rebooted host operating system,120,Enterprise wide outage,Infrastructure Ops,Yes,No,Level 2,CR-2024-0247,Yes
INC-2024-0901,2024-04-13 00:00:00,2024-04-13 00:00:00,P1,Database,SRV-W-034,Microservice-100,Hardware Fault,Reconfigured load balancer session persistence,45,Enterprise wide outage,Application Support,Yes,Yes,Level 2,CR-2024-0121,Yes
INC-2024-0902,2024-11-27 00:00:00,2024-11-27 00:00:00,P4,Database,SRV-E-115,Microservice-088,Hardware Fault,Rebooted host operating system,60,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0224,No
INC-2024-0903,2024-09-23 00:00:00,2024-09-23 00:00:00,P2,Security,SRV-C-014,Microservice-080,Software Bug,Reconfigured load balancer session persistence,0,Single service degradation,Infrastructure Ops,Yes,Yes,Level 2,CR-2024-0229,No
INC-2024-0904,2024-03-15 00:00:00,2024-03-15 00:00:00,P3,Application Software,SRV-C-031,Microservice-090,Capacity Saturation,Restored data from local backup volume,0,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0214,No
INC-2024-0905,2024-08-17 00:00:00,2024-08-17 00:00:00,P1,Storage,SRV-C-098,Microservice-065,Capacity Saturation,Rebooted host operating system,60,Enterprise wide outage,Cloud Ops,Yes,Yes,Level 2,CR-2024-0108,Yes
INC-2024-0906,2024-09-20 00:00:00,2024-09-20 00:00:00,P4,Compute,SRV-E-120,Microservice-096,Human Error,Restarted Docker containers,15,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0139,No
INC-2024-0907,2024-07-01 00:00:00,2024-07-01 00:00:00,P3,Application Software,SRV-C-072,Microservice-092,Capacity Saturation,Cleared storage log partition to free up space,120,Internal operations affected,Network Ops,Yes,No,Level 1,CR-2024-0235,No
INC-2024-0908,2024-09-25 00:00:00,2024-09-25 00:00:00,P4,Compute,SRV-W-020,Microservice-046,Software Bug,Restarted Docker containers,0,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0161,No
INC-2024-0909,2024-10-10 00:00:00,2024-10-10 00:00:00,P4,Storage,SRV-C-083,MarketingAutomation,Third Party Outage,Updated IPS threat signatures and blocked attacking IP,180,Internal operations affected,Security Ops,Yes,No,Level 0,CR-2024-0263,No
INC-2024-0910,2024-06-19 00:00:00,2024-06-19 00:00:00,P4,Database,SRV-E-030,TravelBooking,Software Bug,Replaced faulty fiber patch cable,0,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0129,No
INC-2024-0911,2024-01-11 00:00:00,2024-01-11 00:00:00,P2,Compute,SRV-E-113,Microservice-094,Hardware Fault,Rebooted host operating system,0,Single service degradation,Infrastructure Ops,Yes,Yes,Level 2,CR-2024-0110,No
INC-2024-0912,2024-03-07 00:00:00,2024-03-07 00:00:00,P3,Security,SRV-W-081,Microservice-060,Human Error,Failover to database replication node,120,Internal operations affected,Network Ops,Yes,No,Level 1,CR-2024-0254,No
INC-2024-0913,2024-11-25 00:00:00,2024-11-25 00:00:00,P4,Storage,SRV-C-018,VideoConference,Software Bug,Reconfigured load balancer session persistence,0,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0297,No
INC-2024-0914,2024-01-01 00:00:00,2024-01-01 00:00:00,P3,Database,SRV-E-073,SalesForce-Integration,Third Party Outage,Reconfigured load balancer session persistence,45,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0285,No
INC-2024-0915,2024-10-20 00:00:00,2024-10-20 00:00:00,P4,Network,SRV-C-054,Microservice-099,Human Error,Rebooted host operating system,15,Internal operations affected,Database Admin,Yes,Yes,Level 0,CR-2024-0186,No
INC-2024-0916,2024-10-09 00:00:00,2024-10-09 00:00:00,P2,Storage,SRV-C-036,Microservice-096,Hardware Fault,Rebooted host operating system,0,Single service degradation,Database Admin,Yes,Yes,Level 2,CR-2024-0221,No
INC-2024-0917,2024-05-21 00:00:00,2024-05-21 00:00:00,P4,Storage,SRV-W-019,InventoryMgmt,Software Bug,Reconfigured load balancer session persistence,30,Internal operations affected,Network Ops,Yes,Yes,Level 0,CR-2024-0172,No
INC-2024-0918,2024-04-24 00:00:00,2024-04-24 00:00:00,P1,Database,SRV-W-089,Microservice-098,Human Error,Cleared storage log partition to free up space,60,Enterprise wide outage,Network Ops,Yes,Yes,Level 2,CR-2024-0207,Yes
INC-2024-0919,2024-02-11 00:00:00,2024-02-11 00:00:00,P3,Security,SRV-C-068,ComplianceTracker,Human Error,Cleared storage log partition to free up space,45,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0169,No
INC-2024-0920,2024-08-02 00:00:00,2024-08-02 00:00:00,P2,Security,SRV-C-043,Microservice-040,Capacity Saturation,Restarted Docker containers,30,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0128,No
INC-2024-0921,2024-06-04 00:00:00,2024-06-04 00:00:00,P3,Application Software,SRV-E-101,SecuritySIEM,Software Bug,Updated IPS threat signatures and blocked attacking IP,0,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0241,No
INC-2024-0922,2024-12-06 00:00:00,2024-12-06 00:00:00,P1,Database,SRV-E-064,Microservice-058,Capacity Saturation,Reconfigured load balancer session persistence,0,Enterprise wide outage,Security Ops,Yes,Yes,Level 2,CR-2024-0117,Yes
INC-2024-0923,2024-12-17 00:00:00,2024-12-17 00:00:00,P4,Database,SRV-E-134,Microservice-069,Human Error,Rebooted host operating system,120,Internal operations affected,Application Support,Yes,No,Level 0,CR-2024-0181,No
INC-2024-0924,2024-04-23 00:00:00,2024-04-23 00:00:00,P4,Application Software,SRV-W-091,Microservice-096,Software Bug,Rebooted host operating system,60,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0233,No
INC-2024-0925,2024-03-13 00:00:00,2024-03-13 00:00:00,P2,Database,SRV-W-039,Microservice-078,Capacity Saturation,Updated IPS threat signatures and blocked attacking IP,180,Single service degradation,Infrastructure Ops,Yes,No,Level 2,CR-2024-0208,No
INC-2024-0926,2024-11-28 00:00:00,2024-11-28 00:00:00,P2,Database,SRV-W-074,Microservice-047,Capacity Saturation,Reconfigured load balancer session persistence,15,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0125,No
INC-2024-0927,2024-07-18 00:00:00,2024-07-18 00:00:00,P1,Compute,SRV-E-029,HR-Portal,Software Bug,Updated local SSL/TLS certificate chain,15,Enterprise wide outage,Network Ops,Yes,Yes,Level 2,CR-2024-0136,Yes
INC-2024-0928,2024-04-07 00:00:00,2024-04-07 00:00:00,P3,Compute,SRV-W-083,Microservice-057,Third Party Outage,Restarted Docker containers,0,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0289,No
INC-2024-0929,2024-07-09 00:00:00,2024-07-09 00:00:00,P4,Application Software,SRV-C-022,Microservice-100,Capacity Saturation,Reconfigured load balancer session persistence,45,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0106,No
INC-2024-0930,2024-12-08 00:00:00,2024-12-08 00:00:00,P2,Storage,SRV-C-083,Microservice-062,Hardware Fault,Rebooted host operating system,30,Single service degradation,Infrastructure Ops,Yes,Yes,Level 2,CR-2024-0171,No
INC-2024-0931,2024-05-30 00:00:00,2024-05-30 00:00:00,P4,Security,SRV-W-037,ERP-Core,Human Error,Reconfigured load balancer session persistence,15,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0258,No
INC-2024-0932,2024-09-06 00:00:00,2024-09-06 00:00:00,P3,Database,SRV-E-001,SecuritySIEM,Third Party Outage,Replaced faulty fiber patch cable,180,Internal operations affected,Application Support,Yes,No,Level 1,CR-2024-0199,No
INC-2024-0933,2024-08-25 00:00:00,2024-08-25 00:00:00,P3,Compute,SRV-E-020,TravelBooking,Human Error,Replaced faulty fiber patch cable,120,Internal operations affected,Cloud Ops,Yes,No,Level 1,CR-2024-0113,No
INC-2024-0934,2024-12-15 00:00:00,2024-12-15 00:00:00,P3,Network,SRV-C-059,Microservice-070,Third Party Outage,Reconfigured load balancer session persistence,180,Internal operations affected,Security Ops,Yes,No,Level 1,CR-2024-0291,No
INC-2024-0935,2024-04-18 00:00:00,2024-04-18 00:00:00,P3,Database,SRV-W-077,Microservice-051,Software Bug,Reconfigured load balancer session persistence,180,Internal operations affected,Infrastructure Ops,Yes,No,Level 1,CR-2024-0296,No
INC-2024-0936,2024-03-23 00:00:00,2024-03-23 00:00:00,P3,Compute,SRV-W-017,Microservice-055,Third Party Outage,Reconfigured load balancer session persistence,30,Internal operations affected,Security Ops,Yes,Yes,Level 1,CR-2024-0157,No
INC-2024-0937,2024-12-11 00:00:00,2024-12-11 00:00:00,P4,Security,SRV-W-091,Microservice-075,Hardware Fault,Replaced faulty fiber patch cable,0,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 0,CR-2024-0273,No
INC-2024-0938,2024-11-01 00:00:00,2024-11-01 00:00:00,P4,Network,SRV-E-115,BI-Analytics,Third Party Outage,Restarted JVM application server process,45,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 0,CR-2024-0177,No
INC-2024-0939,2024-06-09 00:00:00,2024-06-09 00:00:00,P1,Storage,SRV-C-066,Microservice-099,Human Error,Restarted Docker containers,180,Enterprise wide outage,Infrastructure Ops,Yes,No,Level 2,CR-2024-0289,Yes
INC-2024-0940,2024-05-25 00:00:00,2024-05-25 00:00:00,P4,Compute,SRV-E-137,Microservice-085,Human Error,Failover to database replication node,30,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0104,No
INC-2024-0941,2024-07-01 00:00:00,2024-07-01 00:00:00,P4,Database,SRV-C-029,CI-CD-Pipeline,Human Error,Failover to database replication node,0,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0256,No
INC-2024-0942,2024-07-12 00:00:00,2024-07-12 00:00:00,P4,Storage,SRV-W-120,Microservice-088,Human Error,Updated IPS threat signatures and blocked attacking IP,180,Internal operations affected,Application Support,Yes,No,Level 0,CR-2024-0100,No
INC-2024-0943,2024-10-25 00:00:00,2024-10-25 00:00:00,P3,Storage,SRV-C-045,Microservice-050,Capacity Saturation,Updated IPS threat signatures and blocked attacking IP,30,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0182,No
INC-2024-0944,2024-12-15 00:00:00,2024-12-15 00:00:00,P4,Compute,SRV-W-057,Microservice-042,Third Party Outage,Restored data from local backup volume,15,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0165,No
INC-2024-0945,2024-10-18 00:00:00,2024-10-18 00:00:00,P1,Security,SRV-E-090,BackupManager,Third Party Outage,Restarted Docker containers,60,Enterprise wide outage,Database Admin,Yes,Yes,Level 2,CR-2024-0239,Yes
INC-2024-0946,2024-12-12 00:00:00,2024-12-12 00:00:00,P1,Storage,SRV-W-039,Microservice-036,Human Error,Cleared storage log partition to free up space,180,Enterprise wide outage,Infrastructure Ops,Yes,No,Level 2,CR-2024-0279,Yes
INC-2024-0947,2024-04-25 00:00:00,2024-04-25 00:00:00,P1,Compute,SRV-E-034,Microservice-039,Third Party Outage,Restored data from local backup volume,30,Enterprise wide outage,Cloud Ops,Yes,Yes,Level 2,CR-2024-0204,Yes
INC-2024-0948,2024-08-02 00:00:00,2024-08-02 00:00:00,P4,Security,SRV-E-063,Microservice-049,Human Error,Restarted Docker containers,0,Internal operations affected,Database Admin,Yes,Yes,Level 0,CR-2024-0238,No
INC-2024-0949,2024-04-26 00:00:00,2024-04-26 00:00:00,P2,Application Software,SRV-E-139,Microservice-067,Human Error,Updated local SSL/TLS certificate chain,120,Single service degradation,Cloud Ops,Yes,No,Level 2,CR-2024-0237,No
INC-2024-0950,2024-04-12 00:00:00,2024-04-12 00:00:00,P3,Security,SRV-E-089,Microservice-051,Third Party Outage,Restarted Docker containers,60,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0184,No
INC-2024-0951,2024-04-05 00:00:00,2024-04-05 00:00:00,P2,Network,SRV-C-036,Microservice-070,Third Party Outage,Restarted Docker containers,15,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0160,No
INC-2024-0952,2024-10-03 00:00:00,2024-10-03 00:00:00,P4,Database,SRV-C-091,Microservice-096,Hardware Fault,Failover to database replication node,180,Internal operations affected,Application Support,Yes,No,Level 0,CR-2024-0165,No
INC-2024-0953,2024-07-29 00:00:00,2024-07-29 00:00:00,P3,Compute,SRV-C-041,Microservice-094,Human Error,Updated IPS threat signatures and blocked attacking IP,120,Internal operations affected,Security Ops,Yes,No,Level 1,CR-2024-0179,No
INC-2024-0954,2024-08-13 00:00:00,2024-08-13 00:00:00,P4,Database,SRV-E-016,Microservice-077,Hardware Fault,Rebooted host operating system,180,Internal operations affected,Security Ops,Yes,No,Level 0,CR-2024-0158,No
INC-2024-0955,2024-07-12 00:00:00,2024-07-12 00:00:00,P4,Database,SRV-W-102,Microservice-071,Third Party Outage,Failover to database replication node,0,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0262,No
INC-2024-0956,2024-08-29 00:00:00,2024-08-29 00:00:00,P4,Database,SRV-W-074,LDAP-Directory,Capacity Saturation,Updated IPS threat signatures and blocked attacking IP,30,Internal operations affected,Cloud Ops,Yes,Yes,Level 0,CR-2024-0124,No
INC-2024-0957,2024-11-22 00:00:00,2024-11-22 00:00:00,P3,Network,SRV-C-048,Microservice-080,Software Bug,Rebooted host operating system,60,Internal operations affected,Security Ops,Yes,Yes,Level 1,CR-2024-0182,No
INC-2024-0958,2024-06-05 00:00:00,2024-06-05 00:00:00,P2,Application Software,SRV-W-114,E-Commerce-Platform,Human Error,Failover to database replication node,60,Single service degradation,Application Support,Yes,Yes,Level 2,CR-2024-0138,No
INC-2024-0959,2024-01-31 00:00:00,2024-01-31 00:00:00,P3,Storage,SRV-W-110,Microservice-064,Software Bug,Restored data from local backup volume,60,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0251,No
INC-2024-0960,2024-09-19 00:00:00,2024-09-19 00:00:00,P4,Network,SRV-C-045,Microservice-059,Capacity Saturation,Replaced faulty fiber patch cable,60,Internal operations affected,Database Admin,Yes,Yes,Level 0,CR-2024-0272,No
INC-2024-0961,2024-02-28 00:00:00,2024-02-28 00:00:00,P3,Network,SRV-E-093,Microservice-056,Hardware Fault,Updated local SSL/TLS certificate chain,0,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 1,CR-2024-0298,No
INC-2024-0962,2024-04-16 00:00:00,2024-04-16 00:00:00,P2,Network,SRV-E-078,Microservice-066,Third Party Outage,Rebooted host operating system,180,Single service degradation,Network Ops,Yes,No,Level 2,CR-2024-0180,No
INC-2024-0963,2024-03-17 00:00:00,2024-03-17 00:00:00,P3,Storage,SRV-W-085,Microservice-099,Human Error,Updated local SSL/TLS certificate chain,120,Internal operations affected,Infrastructure Ops,Yes,No,Level 1,CR-2024-0241,No
INC-2024-0964,2024-08-05 00:00:00,2024-08-05 00:00:00,P4,Database,SRV-C-089,Microservice-048,Capacity Saturation,Updated local SSL/TLS certificate chain,60,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0219,No
INC-2024-0965,2024-07-05 00:00:00,2024-07-05 00:00:00,P1,Network,SRV-E-090,Microservice-068,Capacity Saturation,Cleared storage log partition to free up space,15,Enterprise wide outage,Infrastructure Ops,Yes,Yes,Level 2,CR-2024-0110,Yes
INC-2024-0966,2024-06-10 00:00:00,2024-06-10 00:00:00,P3,Database,SRV-E-040,Microservice-074,Software Bug,Restarted JVM application server process,0,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 1,CR-2024-0203,No
